"kodeunit","kode","nmMenu","kdgrup","nmgrup","urut","norek","uraian","tampil",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","00005","-","PEMELIHARAAN MESIN/PERALATAN LAYUAN","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","00006","604020301","- Pemeliharaan Monorail","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","00007","604020302","- Pemeliharaan Withering Trough","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","00008","604020303","- Pemeliharaan Heat Exchanger + Burner","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","00009","604020304","- Pemeliharaan Exhaust Fan","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","00010","604020305","- Pemeliharaan Hot Air Ducting","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000100","604021609","- Pemeliharaan Lain Lain","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000101","-","PEMEL.MESIN/PERALATAN STASIUN REBUSAN","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000102","604021701","- Pemeliharaan Sterilizer","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000103","604021702","- Pemeliharaan Blowdownt & Silencer","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000104","604021703","- Pemeliharaan Pompa Condensate","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000105","604021709","- Pemeliharaan Lain Lain","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000106","-","PEMEL.MESIN/PERALATAN STASIUN PENEBAH","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000107","604021801","- Pemeliharaan Automatic Feeder","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000108","604021802","- Pemeliharaan Thresher","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000109","604021803","- Pemeliharaan Hoisting Crane","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","00011","604020309","- Pemeliharaan Lain Lain","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000110","604021804","- Pemeliharaan Empty Fruit Bunch Hopper","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000111","604021805","- Pemeliharaan Fruit Elevator","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000112","604021806","- Pemeliharaan Under Thresher Conveyor","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000113","604021807","- Pemeliharaan Top Cross Conveyor","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000114","604021808","- Pemeliharaan Distributor Conveyor","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000115","604021809","- Pemeliharaan Recycle Conveyor","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000116","604021819","- Pemeliharaan Lain Lain","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000117","-","PEMEL.MESIN/PERALATAN STASIUN DIGESTER&PRESS","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000118","604021901","- Pemeliharaan Digester","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000119","604021902","- Pemeliharaan Screw Press","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","00012","-","PEMEL.MESIN/PERALATAN GILINGAN & FERMENTASI","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000120","604021903","- Pemeliharaan Cake Breaker Conveyor","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000121","604021909","- Pemeliharaan Lain Lain","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000122","-","PEMEL.MESIN/PERALATAN STASIUN KLARIFIKASI","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000123","604022001","- Pemeliharaan Oil Gutter","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000124","604022002","- Pemeliharaan Sand Trap Tank","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000125","604022003","- Pemeliharaan Rotary Vibrating Screen","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000126","604022004","- Pemeliharaan Crude Oil Tank","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000127","604022005","- Pemeliharaan Crude Oil Pump","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000128","604022006","- Pemeliharaan Continuous Settling Pump","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000129","604022007","- Pemeliharaan Oil Tank","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","00013","604020401","- Pemeliharaan ORT + Feeding Conveyor","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000130","604022008","- Pemeliharaan Sludge Tank","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000131","604022009","- Pemeliharaan Sludge Separator","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000132","604022010","- Pemeliharaan Oil Purifier","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000133","604022011","- Pemeliharaan Brush Strainer","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000134","604022012","- Pemeliharaan Desander Cyclone","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000135","604022013","- Pemeliharaan Sludge Pump","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000136","604022014","- Pemeliharaan Sludge Balance Tank","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000137","604022015","- Pemeliharaan Oil Tank From Separator","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000138","604022016","- Pemeliharaan Oil Pump from Separator","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000139","604022017","- Pemeliharaan Vaccum Dryer","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","00014","604020402","- Pemeliharaan PCR","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000140","604022018","- Pemeliharaan Vaccum Dryer Pump","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000141","604022019","- Pemeliharaan Hot Water Tank","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000142","604022020","- Pemeliharaan Hot Water Pump","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000143","604022021","- Pemeliharaan Oil Pump From Vaccum Dryer","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000144","604022022","- Pemeliharaan Pure Oil Tank","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000145","604022023","- Pemeliharaan Oil Pump","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000146","604022024","- Pemeliharaan Oil Flowmeter","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000147","604022025","- Pemeliharaan Fat-pit Pump","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000148","604022026","- Pemeliharaan Strorage Oil Tank","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000149","604022029","- Pemeliharaan Lain Lain","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","00015","604020403","- Pemeliharaan DIBN + Feeding Conveyor","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000150","-","PEMEL.MESIN/PERALATAN STASIUN BIJI/KERNEL","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000151","604022101","- Pemeliharaan Depericarper c/w Fiber Cyclone","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000152","604022102","- Pemeliharaan Polishing Drum","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000153","604022103","- Pemeliharaan Pneumatic Destoner","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000154","604022104","- Pemeliharaan Inclined Nut Conveyor","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000155","604022105","- Pemeliharaan Nut Hopper","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000156","604022106","- Pemeliharaan Ripple Mill","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000157","604022107","- Pemeliharaan Mixture Conveyor","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000158","604022108","- Pemeliharaan Mixtire Elevator","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000159","604022109","- Pemeliharaan LTDS","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","00016","604020404","- Pemeliharaan RRB + Feeding Conveyor","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000160","604022110","- Pemeliharaan Kernel Grading","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000161","604022111","- Pemeliharaan Dry Kernel Conveyor","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000162","604022112","- Pemeliharaan Dry Kernel Elevator","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000163","604022113","- Pemeliharaan Kernel Distributing Conveyor","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000164","604022114","- Pemeliharaan Kernel Silo","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000165","604022115","- Pemeliharaan Clay Bath","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000166","604022116","- Pemeliharaan Nut Kernel Pneumatic Transport","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000167","604022117","- Pemeliharaan Nut Shell Pneumatic Transport","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000168","604022118","- Pemeliharaan Kernel Conveyor Under Kernel Silo","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000169","604022119","- Pemeliharaan Kernel Winnowing","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","00017","604020405","- Pemeliharaan Rotor Vanes + Feeding Conveyor","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000170","604022120","- Pemeliharaan Dry Kernel Elevator","YA",
"14","731","PEMELIHARAAN PABRIK PER BUDIDAYA","60402","PEMEL. MESIN PABRIK","000171","604022129","- Pemeliharaan Lain Lain","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04203","PEMBUATAN/PEMELIHARAAN JALAN DAN SALURAN AIR","00001","042030100","PEMBUATAN & PEMELIHARAAN JALAN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04203","PEMBUATAN/PEMELIHARAAN JALAN DAN SALURAN AIR","00002","042030200","PEMBUATAN & PEMELIHARAAN SALURAN AIR","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04203","PEMBUATAN/PEMELIHARAAN JALAN DAN SALURAN AIR","00003","042030300","PEMBUATAN & PEMELIHARAAN TERAS","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04203","PEMBUATAN/PEMELIHARAAN JALAN DAN SALURAN AIR","00004","042030800","ALAT-ALAT DAN PERLENGKAPAN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04203","PEMBUATAN/PEMELIHARAAN JALAN DAN SALURAN AIR","00005","042030900","LAIN-LAIN/EAP","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04204","MENANAM","00001","042040100","MENGATUR JARAK DAN MENGGALI LOBANG","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04204","MENANAM","00002","042040200","BIBIT","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04204","MENANAM","00003","042040300","MENANAM DAN MENYISIP","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04204","MENANAM","00004","042040400","ALAT-ALAT DAN PERLENGKAPAN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04204","MENANAM","00005","042041900","LAIN-LAIN/EAP","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420501","MENYIANG MANUAL","00001","042050101","GACOK","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420501","MENYIANG MANUAL","00002","042050102","JOJO","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420501","MENYIANG MANUAL","00003","042050103","KORED","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420501","MENYIANG MANUAL","00004","042050104","BABAD","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420501","MENYIANG MANUAL","00005","042050105","BOBOKOR","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420502","MENYIANG KIMIA","00001","042050200","MENYIANG DENGAN KIMIA","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420502","MENYIANG DENGAN KIMIA","00001","042050201","MENYIANG DENGAN KIMIA","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420502","MENYIANG DENGAN KIMIA","00002","042050202","EAP","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420601","PENGENDALIAN HAMA","00001","042060100","PENGAMAT HAMA","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420601","PENGENDALIAN HAMA","00002","042060101","HELOPELTIS","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420601","PENGENDALIAN HAMA","00003","042060102","EMPOASCA","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420601","PENGENDALIAN HAMA","00004","042060103","MYTE","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420601","PENGENDALIAN HAMA","00005","042060104","ULAT","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420601","PENGENDALIAN HAMA","00006","042060105","KUMBANG","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420601","PENGENDALIAN HAMA","00007","042060106","BELALANG","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420601","PENGENDALIAN HAMA","00008","042060107","KUTU DAUN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420601","PENGENDALIAN HAMA","00009","042060108","TIKUS","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420601","PENGENDALIAN HAMA","00010","042060109","URET","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420601","PENGENDALIAN HAMA","00011","042060110","RAYAP","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420601","PENGENDALIAN HAMA","00012","042060120","EAP","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420602","PENGENDALIAN PENYAKIT","00001","042060201","BLISTER BLIGHT","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420602","PENGENDALIAN PENYAKIT","00002","042060202","JAMUR AKAR","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420602","PENGENDALIAN PENYAKIT","00003","042060203","JAMUR UPAS","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420602","PENGENDALIAN PENYAKIT","00004","042060204","PENYAKIT DAUN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420602","PENGENDALIAN PENYAKIT","00005","042060205","PENYAKIT BIDANG SADAP","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420602","PENGENDALIAN PENYAKIT","00006","042060206","BROWN BAST","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420602","PENGENDALIAN PENYAKIT","00007","042060207","ANTHACNOSE","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420602","PENGENDALIAN PENYAKIT","00008","042060208","PENYAKIT TAJUK","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420602","PENGENDALIAN PENYAKIT","00009","042060209","PENYAKIT BUSUK DAUN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420602","PENGENDALIAN PENYAKIT","00010","042060210","PENYAKIT BUSUK PANGKAL","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0420602","PENGENDALIAN PENYAKIT","00011","042060220","EAP","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04207","PEMUPUKAN","00001","042070100","PEMUPUKAN AKAR","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04207","PEMUPUKAN","00002","042070200","PEMUPUKAN DAUN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04207","PEMUPUKAN","00003","042070300","PEMUPUKAN ORGANIK","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04207","PEMUPUKAN","00004","042070400","PEMUPUKAN AGENSI HAYATI","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04207","PEMUPUKAN","00005","042071900","EAP","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04208","PANGKASAN/POHON PELINDUNG","00001","042080101","PANGKASAN/CENTRING/MENUNAS","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04208","PANGKASAN/POHON PELINDUNG","00002","042080200","MEMBERESKAN CABANG/WIWIL","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04208","PANGKASAN/POHON PELINDUNG","00003","042080300","SELEKSI","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04208","PANGKASAN/POHON PELINDUNG","00004","042080400","MENJARANGKAN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04208","PANGKASAN/POHON PELINDUNG","00005","042080500","POHON PELINDUNG","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04209","PEKERJAAN LAIN-LAIN","00001","042090100","MEMBUANG LUMUT","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04209","PEKERJAAN LAIN-LAIN","00002","042090200","PENYERBUKAN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04209","PEKERJAAN LAIN-LAIN","00003","042090300","ALAT-ALAT DAN PERLENGKAPAN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04209","PEKERJAAN LAIN-LAIN","00004","042090900","LAIN-LAIN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04210","BIAYA KREDIT","00001","042100300","BIAYA KREDIT INVESTASI","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00001","042190001","CUTI TAHUNAN/PANJANG","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00002","042190002","PAKAIAN KERJA","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00003","042190003","ASURANSI KECELAKAAN DIRI/MOLES","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00004","042190004","JAMSOSTEK","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00005","042190005","DAPENBUN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00006","042190006","DETASERING","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00007","042190007","TUNJANGAN PPH","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00008","042190008","TUNJANGAN TRANSPORT","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00009","042190009","TUNJANGAN KOMUNIKASI","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00010","042190010","TUNJANGAN BBM/SEPEDA MOTOR","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00011","042190011","TUNJANGAN TETAP","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00012","042190012","TUNJANGAN STRUKTURAL","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00013","042190013","TUNJANGAN JABATAN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00014","042190014","TUNJANGAN KHUSUS","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421900","TUNJ.DAN BIAYA SOSIAL KARY.GOLONGAN IIIA - IVD","00015","042190015","TUNJANGAN HARI RAYA KEAGAMAAN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00001","042190101","CUTI TAHUNAN/PANJANG","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00002","042190102","PAKAIAN KERJA","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00003","042190103","ASURANSI KECELAKAAN DIRI/MOLES","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00004","042190104","JAMSOSTEK","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00005","042190105","DAPENBUN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00006","042190106","DETASERING","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00007","042190107","TUNJANGAN PPH","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00008","042190108","TUNJANGAN TRANSPORT","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00009","042190109","TUNJANGAN KOMUNIKASI","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00010","042190110","TUNJANGAN BBM/SEPEDA MOTOR","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00011","042190111","TUNJANGAN TETAP","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00012","042190112","TUNJANGAN STRUKTURAL","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00013","042190113","TUNJANGAN JABATAN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00014","042190114","TUNJANGAN KHUSUS","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","0421901","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00015","042190115","TUNJANGAN HARI RAYA KEAGAMAAN","YA",
